,0
0,Nebraska
1,Indiana
2,New Mexico
3,South Dakota
4,Oklahoma
5,New York
6,Delaware
7,New Hampshire
8,Michigan
9,Utah
10,Connecticut
11,West Virginia
12,Wyoming
13,Georgia
14,Illinois
15,Alabama
16,South Carolina
17,Massachusetts
18,North Dakota
19,Arkansas
20,Oregon
21,Texas
22,Wisconsin
23,Colorado
24,Montana
25,Iowa
26,Alaska
27,Missouri
28,Kentucky
29,Rhode Island
30,Pennsylvania
31,New Jersey
32,Maryland
33,Maine
34,Washington
35,Arizona
36,Vermont
37,Tennessee
38,Idaho
39,Virginia
40,Hawaii
41,Kansas
42,North Carolina
43,Louisiana
44,Nevada
